symbol,entry_price,exit_price,entry_time,exit_time,pnl,reason,duration,rsi,adx,volume_ratio,upper_wick_ratio
ATOMUSDTUSDT,4.1610795,4.1007729748065,2025-10-10 14:15:00,2025-10-10 14:45:00,-1.3292516294661707,Stop Loss,0 days 00:30:00,72.41749046250312,35.16773468033485,4.783677352708952,0.006732387593171549
SOONUSDTUSDT,0.9310653,0.9175713706071,2025-10-10 22:00:00,2025-10-10 22:00:00,-1.2707455022397807,Stop Loss,0 days 00:00:00,71.66334103951493,25.795454117002915,2.7940359213855905,0.02150537634408592
SOONUSDTUSDT,0.9146571,0.9014009746497,2025-10-10 22:15:00,2025-10-10 22:15:00,-1.2426338821236294,Stop Loss,0 days 00:00:00,65.46812931819261,27.033457422108103,3.2705672691923344,0.03312493144674784
BANKUSDTUSDT,0.159629775,0.157316260670925,2025-10-11 06:15:00,2025-10-11 06:15:00,-1.215144151429207,Stop Loss,0 days 00:00:00,74.32892669863365,45.80818164639491,2.8613106450524652,0.002256628847238759
MERLUSDTUSDT,0.396308055,0.39056436235888503,2025-10-11 14:15:00,2025-10-11 14:15:00,-1.1882625526266621,Stop Loss,0 days 00:00:00,77.91013122975578,44.64548559927912,4.939672163962854,0.006533639413738394
MERLUSDTUSDT,0.39070525500000003,0.39580303397078714,2025-10-11 14:30:00,2025-10-11 14:30:00,0.9724211630734446,Smart Trailing (Max 74%),0 days 00:00:00,68.32354217184002,46.089433951206054,3.179917156928978,0.032086246190878555
MERLUSDTUSDT,0.39781880999999997,0.39205322198667,2025-10-11 15:15:00,2025-10-11 15:15:00,-1.1819638702186528,Stop Loss,0 days 00:00:00,71.73038448154763,51.17168119550502,3.438451600535383,0.02776730745068463
HANAUSDTUSDT,0.07535765999999999,0.07426550143362,2025-10-12 00:00:00,2025-10-12 00:00:00,-1.1558162905089138,Stop Loss,0 days 00:00:00,73.30777200239451,32.156887658250255,2.8541734538576655,0.020719883118608128
HANAUSDTUSDT,0.078429195,0.077292520676865,2025-10-12 00:30:00,2025-10-12 00:30:00,-1.1302471514282901,Stop Loss,0 days 00:00:00,75.5613770815953,31.914710219418826,2.94590682253966,0.023329933707292177
HANAUSDTUSDT,0.08321158499999999,0.09072711375,2025-10-12 01:15:00,2025-10-12 01:15:00,6.621034604750257,Smart Trailing (Max 187%),0 days 00:00:00,75.61927020400002,35.85234714323006,2.907927435961684,0.007217610970768716
HANAUSDTUSDT,0.09029512499999999,0.088986477753375,2025-10-12 01:30:00,2025-10-12 01:30:00,-1.2461991521222306,Stop Loss,0 days 00:00:00,81.01773671696705,39.60697319433774,3.199969588944557,0.008086850559432751
HANAUSDTUSDT,0.088234095,0.086955318261165,2025-10-12 01:45:00,2025-10-12 01:45:00,-1.2186305499971077,Stop Loss,0 days 00:00:00,75.7021825725868,41.176553318427246,3.4865327252288885,0.054207303243365916
COAIUSDTUSDT,8.9354655,8.8059637985085,2025-10-12 02:30:00,2025-10-12 02:30:00,-1.1916718245693376,Stop Loss,0 days 00:00:00,71.94170181125361,27.80345339455184,3.3881930985153548,0.013884223491210454
IPUSDTUSDT,5.808903,5.724714568821,2025-10-12 04:30:00,2025-10-12 04:30:00,-1.165309484056334,Stop Loss,0 days 00:00:00,71.89807898170567,28.22257666893961,7.870411231173569,0.017918676774638195
B2USDTUSDT,1.26193065,1.24364148908955,2025-10-12 06:30:00,2025-10-12 06:30:00,-1.1395303351427224,Stop Loss,0 days 00:00:00,72.29996672480979,31.76612988314091,4.646547485854107,0.029882688649334053
DASHUSDTUSDT,45.182579999999994,48.796719435,2025-10-12 06:45:00,2025-10-12 06:45:00,5.907775920905904,Smart Trailing (Max 408%),0 days 00:00:00,73.27147309434861,28.39921197931333,3.33170159515034,0.007975188303057143
DASHUSDTUSDT,48.794385,53.27998668000001,2025-10-12 07:00:00,2025-10-12 07:00:00,7.561488662497558,Smart Trailing (Max 468%),0 days 00:00:00,80.08872906160174,30.900307350188637,6.070944915667312,0.0020504408447815114
