symbol,id,orderId,side,price,qty,realizedPnl,quoteQty,commission,commissionAsset,time,positionSide,buyer,maker
ENSOUSDT,23640236,335217886,BUY,0.682900,7.6,0,5.1900400,0.00259502,USDT,2025-12-24 06:30:01.644,BOTH,True,False
ACEUSDT,190169091,4349068153,BUY,0.279400,18.44,0,5.15213600,0.00257606,USDT,2025-12-24 06:45:02.306,BOTH,True,False
ACEUSDT,190170248,4349079328,SELL,0.278800,2.83,-0.00169800,0.78900400,0.00039450,USDT,2025-12-24 06:47:42.136,BOTH,False,False
ACEUSDT,190170247,4349079328,SELL,0.278800,15.61,-0.00936600,4.35206800,0.00217603,USDT,2025-12-24 06:47:42.136,BOTH,False,False
ENSOUSDT,23643969,335262654,SELL,0.679800,7.6,-0.02356000,5.1664800,0.00258324,USDT,2025-12-24 06:47:48.628,BOTH,False,False
API3USDT,345938135,6399162766,BUY,0.4418,11.5,0,5.08070,0.00254034,USDT,2025-12-24 07:00:01.943,BOTH,True,False
ACEUSDT,190173283,4349108101,BUY,0.281300,17.97,0,5.05496100,0.00252748,USDT,2025-12-24 07:00:02.215,BOTH,True,False
ACEUSDT,190173773,4349111129,SELL,0.280000,17.97,-0.02336100,5.03160000,0.00251580,USDT,2025-12-24 07:01:25.554,BOTH,False,False
ACEUSDT,190186682,4349199941,BUY,0.282900,17.81,0,5.03844900,0.00251922,USDT,2025-12-24 07:30:01.747,BOTH,True,False
KERNELUSDT,53626746,645629702,BUY,0.0694500,72,0,5.0004000,0.00250020,USDT,2025-12-24 07:30:01.801,BOTH,True,False
PLUMEUSDT,53403413,807292194,BUY,0.0180200,280,0,5.0456000,0.00252280,USDT,2025-12-24 07:30:02.273,BOTH,True,False
ACEUSDT,190187869,4349210086,SELL,0.281100,17.81,-0.03205800,5.00639100,0.00250319,USDT,2025-12-24 07:33:16.526,BOTH,False,False
KERNELUSDT,53628163,645640886,SELL,0.0699200,72,0.03384000,5.0342400,0.00251712,USDT,2025-12-24 07:36:11.534,BOTH,False,False
API3USDT,345943708,6399201488,SELL,0.4401,11.5,-0.01955000,5.06115,0.00253057,USDT,2025-12-24 07:36:16.380,BOTH,False,False
PLUMEUSDT,53403719,807296620,SELL,0.0179900,280,-0.00840000,5.0372000,0.00251860,USDT,2025-12-24 07:36:16.380,BOTH,False,False
KERNELUSDT,53634776,645697331,BUY,0.0699200,73,0,5.1041600,0.00255208,USDT,2025-12-24 08:00:01.869,BOTH,True,False
KERNELUSDT,53635009,645698943,SELL,0.0695000,73,-0.03066000,5.0735000,0.00253675,USDT,2025-12-24 08:00:21.431,BOTH,False,False
KERNELUSDT,53641679,645749844,BUY,0.0703500,84,0,5.9094000,0.00295470,USDT,2025-12-24 08:15:02.272,BOTH,True,False
KERNELUSDT,53644910,645781500,SELL,0.0698700,84,-0.04032000,5.8690800,0.00293454,USDT,2025-12-24 08:26:31.668,BOTH,False,False
MOVEUSDT,175859633,2646357382,BUY,0.0355200,164,0,5.8252800,0.00291264,USDT,2025-12-24 08:45:01.677,BOTH,True,False
MOVEUSDT,175862448,2646390876,SELL,0.0353000,164,-0.03608000,5.7892000,0.00289460,USDT,2025-12-24 08:48:00.827,BOTH,False,False
TSTUSDT,104629423,1388062170,BUY,0.0188900,317,0,5.9881300,0.00299406,USDT,2025-12-24 09:15:01.820,BOTH,True,False
ENSOUSDT,23686917,335704875,BUY,0.697800,0.3,0,0.2093400,0.00010467,USDT,2025-12-24 09:15:02.006,BOTH,True,False
ENSOUSDT,23686916,335704875,BUY,0.697800,8.3,0,5.7917400,0.00289587,USDT,2025-12-24 09:15:02.006,BOTH,True,False
ENSOUSDT,23688796,335726613,SELL,0.687300,8.6,-0.09030000,5.9107800,0.00295539,USDT,2025-12-24 09:17:55.510,BOTH,False,False
TSTUSDT,104632646,1388078941,SELL,0.0186400,317,-0.07925000,5.9088800,0.00295444,USDT,2025-12-24 09:21:51.302,BOTH,False,False
ATUSDT,37572690,226081485,BUY,0.0924300,157,0,14.5115100,0.00725575,USDT,2025-12-24 11:00:01.266,BOTH,True,False
DOLOUSDT,89730777,1041514566,BUY,0.0409300,354,0,14.4892200,0.00724461,USDT,2025-12-24 11:00:01.711,BOTH,True,False
ATUSDT,37576872,226129326,SELL,0.0933200,157,0.13973000,14.6512400,0.00732562,USDT,2025-12-24 11:15:01.540,BOTH,False,False
DOLOUSDT,89743501,1041672667,SELL,0.0410800,244,0.03660000,10.0235200,0.00501175,USDT,2025-12-24 11:30:01.603,BOTH,False,False
DOLOUSDT,89743502,1041672667,SELL,0.0410800,110,0.01650000,4.5188000,0.00225940,USDT,2025-12-24 11:30:01.603,BOTH,False,False
HAEDALUSDT,90771986,1310023191,BUY,0.0423400,344,0,14.5649600,0.00728248,USDT,2025-12-24 11:45:01.100,BOTH,True,False
TREEUSDT,60788387,827252486,BUY,0.1116000,131,0,14.6196000,0.00730980,USDT,2025-12-24 11:45:01.160,BOTH,True,False
HAEDALUSDT,90772035,1310023464,SELL,0.0422800,344,-0.02064000,14.5443200,0.00727216,USDT,2025-12-24 11:45:02.341,BOTH,False,False
TREEUSDT,60789728,827272480,SELL,0.1106000,131,-0.13100000,14.4886000,0.00724430,USDT,2025-12-24 11:59:54.708,BOTH,False,False
HAEDALUSDT,90781734,1310117882,BUY,0.0437100,330,0,14.4243000,0.00721215,USDT,2025-12-24 12:00:01.251,BOTH,True,False
HAEDALUSDT,90782198,1310120058,SELL,0.0433600,330,-0.11550000,14.3088000,0.00715440,USDT,2025-12-24 12:00:13.744,BOTH,False,False
HAEDALUSDT,90794901,1310239618,BUY,0.0443600,319,0,14.1508400,0.00707542,USDT,2025-12-24 12:15:00.985,BOTH,True,False
HAEDALUSDT,90795025,1310240661,SELL,0.0442600,319,-0.03190000,14.1189400,0.00705947,USDT,2025-12-24 12:15:06.303,BOTH,False,False
ZECUSDT,739321347,795884416494,BUY,426.05,0.033,0,14.05965,0.00702982,USDT,2025-12-24 13:00:01.187,BOTH,True,False
SAPIENUSDT,128522346,1161525588,BUY,0.1218400,83,0,10.1127200,0.00505636,USDT,2025-12-24 13:15:01.688,BOTH,True,False
SAPIENUSDT,128522347,1161525588,BUY,0.1218400,33,0,4.0207200,0.00201036,USDT,2025-12-24 13:15:01.688,BOTH,True,False
SAPIENUSDT,128527302,1161565066,SELL,0.1205900,116,-0.14500000,13.9884400,0.00699422,USDT,2025-12-24 13:30:03.007,BOTH,False,False
SKYUSDT,23559977,226068119,BUY,0.0677900,204,0,13.8291600,0.00691458,USDT,2025-12-24 13:45:01.148,BOTH,True,False
SKYUSDT,23559978,226068119,BUY,0.0677900,47,0,3.1861300,0.00159306,USDT,2025-12-24 13:45:01.148,BOTH,True,False
ACEUSDT,190254220,4349905035,BUY,0.289300,34.59,0,10.00688700,0.00500344,USDT,2025-12-24 13:45:01.541,BOTH,True,False
ACEUSDT,190254221,4349905035,BUY,0.289300,13.81,0,3.99523300,0.00199761,USDT,2025-12-24 13:45:01.541,BOTH,True,False
TURTLEUSDT,31081616,252186181,BUY,0.0592400,235,0,13.9214000,0.00696070,USDT,2025-12-24 14:00:01.451,BOTH,True,False
SKYUSDT,23566487,226121438,SELL,0.0671300,251,-0.16566000,16.8496300,0.00842481,USDT,2025-12-24 14:11:16.522,BOTH,False,False
TURTLEUSDT,31084040,252227074,SELL,0.0596500,235,0.09635000,14.0177500,0.00700887,USDT,2025-12-24 14:15:01.623,BOTH,False,False
ZECUSDT,739550668,795887270474,SELL,421.78,0.033,-0.14091000,13.91874,0,USDT,2025-12-24 14:38:07.814,BOTH,False,False
ACEUSDT,190268139,4350056304,SELL,0.289300,48.40,0,14.00212000,0.00700106,USDT,2025-12-24 14:45:01.548,BOTH,False,False
ZKCUSDT,84505187,544496128,BUY,0.1249000,105,0,13.1145000,0.00655725,USDT,2025-12-24 15:15:02.297,BOTH,True,False
ZKCUSDT,84510317,544540262,SELL,0.1235000,105,-0.14700000,12.9675000,0.00648375,USDT,2025-12-24 15:19:44.391,BOTH,False,False
LAYERUSDT,199518998,2541531549,BUY,0.171400,76.6,0,13.1292400,0.00656462,USDT,2025-12-24 15:30:02.239,BOTH,True,False
CFXUSDT,451214886,12553462652,BUY,0.0739700,179,0,13.2406300,0.00662031,USDT,2025-12-24 15:30:02.468,BOTH,True,False
LAYERUSDT,199519151,2541532500,SELL,0.170800,76.6,-0.04596000,13.0832800,0.00654164,USDT,2025-12-24 15:30:16.666,BOTH,False,False
CFXUSDT,451221334,12553506972,SELL,0.0727100,179,-0.22554000,13.0150900,0.00650754,USDT,2025-12-24 15:33:19.059,BOTH,False,False
ARBUSDT,580310390,14631111203,BUY,0.187700,68.4,0,12.8386800,0.00641934,USDT,2025-12-24 15:45:01.896,BOTH,True,False
CFXUSDT,451244224,12553680907,BUY,0.0743200,65,0,4.8308000,0.00241539,USDT,2025-12-24 15:45:01.986,BOTH,True,False
CFXUSDT,451244223,12553680907,BUY,0.0743200,107,0,7.9522400,0.00397611,USDT,2025-12-24 15:45:01.986,BOTH,True,False
CFXUSDT,451255461,12553764040,SELL,0.0735200,135,-0.10800000,9.9252000,0.00496260,USDT,2025-12-24 15:48:00.601,BOTH,False,False
CFXUSDT,451255462,12553764040,SELL,0.0735200,37,-0.02960000,2.7202400,0.00136012,USDT,2025-12-24 15:48:00.601,BOTH,False,False
ORDIUSDT,923615821,18273139926,BUY,3.922000,1.7,0,6.6674000,0.00333370,USDT,2025-12-24 16:15:01.413,BOTH,True,False
ORDIUSDT,923615820,18273139926,BUY,3.922000,1.5,0,5.8830000,0.00294150,USDT,2025-12-24 16:15:01.413,BOTH,True,False
KMNOUSDT,54312523,902547238,BUY,0.0498200,255,0,12.7041000,0.00635205,USDT,2025-12-24 16:15:01.452,BOTH,True,False
KMNOUSDT,54312524,902547238,BUY,0.0498200,40,0,1.9928000,0.00099640,USDT,2025-12-24 16:15:01.452,BOTH,True,False
AIXBTUSDT,288903292,4371104820,BUY,0.0296800,424,0,12.5843200,0.00629216,USDT,2025-12-24 16:15:01.453,BOTH,True,False
AIXBTUSDT,288911759,4371170410,SELL,0.0292700,82,-0.03362000,2.4001400,0.00120006,USDT,2025-12-24 16:21:47.365,BOTH,False,False
AIXBTUSDT,288911758,4371170410,SELL,0.0292700,342,-0.14022000,10.0103400,0.00500517,USDT,2025-12-24 16:21:47.365,BOTH,False,False
PENGUUSDT,475723726,7728787045,BUY,0.0090730,1358,0,12.3211340,0.00616056,USDT,2025-12-24 17:15:03.194,BOTH,True,False
ARBUSDT,580329603,14631812237,SELL,0.187800,68.4,0.00683999,12.8455200,0.00642276,USDT,2025-12-24 17:30:01.568,BOTH,False,False
KMNOUSDT,54317762,902594690,SELL,0.0493000,93,-0.04836000,4.5849000,0.00229245,USDT,2025-12-24 17:42:06.976,BOTH,False,False
KMNOUSDT,54317763,902594690,SELL,0.0493000,112,-0.05824000,5.5216000,0.00276080,USDT,2025-12-24 17:42:06.976,BOTH,False,False
KMNOUSDT,54317764,902594690,SELL,0.0493000,90,-0.04680000,4.4370000,0.00221850,USDT,2025-12-24 17:42:06.976,BOTH,False,False
PENGUUSDT,475737907,7728993132,SELL,0.0089880,1358,-0.11543000,12.2057040,0,USDT,2025-12-24 17:42:12.613,BOTH,False,False
ORDIUSDT,923632556,18273457422,SELL,3.952000,3.2,0.09600000,12.6464000,0.00632320,USDT,2025-12-24 17:45:01.637,BOTH,False,False
API3USDT,346019784,6400084319,BUY,0.4508,26.2,0,11.81096,0.00590548,USDT,2025-12-24 18:00:01.313,BOTH,True,False
API3USDT,346043283,6400311056,SELL,0.4547,26.2,0.10218000,11.91314,0.00595657,USDT,2025-12-24 18:30:01.601,BOTH,False,False
SAPIENUSDT,128648485,1162541391,BUY,0.1245500,95,0,11.8322500,0.00591612,USDT,2025-12-24 18:45:00.868,BOTH,True,False
SAPIENUSDT,128650635,1162554556,SELL,0.1241800,95,-0.03515000,11.7971000,0.00589855,USDT,2025-12-24 18:46:08.600,BOTH,False,False
ATUSDT,37774352,228498227,BUY,0.1069100,111,0,11.8670100,0.00593350,USDT,2025-12-24 19:30:01.995,BOTH,True,False
ATUSDT,37781508,228588946,SELL,0.1054600,111,-0.16095000,11.7060600,0.00585303,USDT,2025-12-24 19:36:39.305,BOTH,False,False
ATUSDT,37795872,228741573,BUY,0.1048100,111,0,11.6339100,0.00581695,USDT,2025-12-24 19:45:01.034,BOTH,True,False
SAPIENUSDT,128740037,1163184911,BUY,0.1276200,90,0,11.4858000,0.00574290,USDT,2025-12-24 19:45:01.035,BOTH,True,False
SAPIENUSDT,128740099,1163185367,SELL,0.1275700,79,-0.00395000,10.0780300,0.00503901,USDT,2025-12-24 19:45:06.066,BOTH,False,False
SAPIENUSDT,128740100,1163185367,SELL,0.1275600,11,-0.00065999,1.4031600,0.00070158,USDT,2025-12-24 19:45:06.066,BOTH,False,False
ATUSDT,37797710,228762456,SELL,0.1033100,111,-0.16650000,11.4674100,0.00573370,USDT,2025-12-24 19:46:21.293,BOTH,False,False
CELOUSDT,158903277,11767769159,BUY,0.120,95.5,0,11.4600,0.00573000,USDT,2025-12-24 20:45:01.086,BOTH,True,False
LINEAUSDT,79422264,752919391,BUY,0.0067140,1695,0,11.3802300,0.00569011,USDT,2025-12-24 21:00:01.341,BOTH,True,False
CELOUSDT,158903737,11767912476,SELL,0.118,95.5,-0.19100000,11.2690,0.00563450,USDT,2025-12-24 21:10:03.264,BOTH,False,False
CFXUSDT,451347239,12555001822,BUY,0.0731000,151,0,11.0381000,0.00551905,USDT,2025-12-24 21:15:01.290,BOTH,True,False
WCTUSDT,116920878,1813865173,BUY,0.0767500,131,0,10.0542500,0.00502712,USDT,2025-12-24 21:15:01.663,BOTH,True,False
WCTUSDT,116920879,1813865173,BUY,0.0767600,13,0,0.9978800,0.00049894,USDT,2025-12-24 21:15:01.663,BOTH,True,False
CFXUSDT,451365149,12555192143,SELL,0.0732700,151,0.02567000,11.0637700,0.00553188,USDT,2025-12-24 23:15:01.609,BOTH,False,False
LINEAUSDT,79455214,753344363,SELL,0.0067800,1695,0.11187000,11.4921000,0.00574605,USDT,2025-12-24 23:30:01.634,BOTH,False,False
WCTUSDT,116940218,1814227140,SELL,0.0775800,144,0.11938999,11.1715200,0.00558576,USDT,2025-12-24 23:45:01.638,BOTH,False,False
CFXUSDT,451424213,12555633808,BUY,0.0782500,47,0,3.6777500,0.00183887,USDT,2025-12-25 00:00:01.634,BOTH,True,False
CFXUSDT,451424214,12555633808,BUY,0.0782900,99,0,7.7507100,0.00387535,USDT,2025-12-25 00:00:01.634,BOTH,True,False
CFXUSDT,451431927,12555684422,SELL,0.0772000,146,-0.15726000,11.2712000,0.00563560,USDT,2025-12-25 00:01:46.752,BOTH,False,False
CFXUSDT,451457289,12555875736,BUY,0.0765900,14,0,1.0722600,0.00053613,USDT,2025-12-25 00:15:01.111,BOTH,True,False
CFXUSDT,451457288,12555875736,BUY,0.0765900,131,0,10.0332900,0.00501664,USDT,2025-12-25 00:15:01.111,BOTH,True,False
CFXUSDT,451463476,12555921491,SELL,0.0757200,145,-0.12615000,10.9794000,0.00548970,USDT,2025-12-25 00:16:46.027,BOTH,False,False
OPENUSDT,103936695,629744465,BUY,0.1696000,1,0,0.1696000,0.00008480,USDT,2025-12-25 00:30:01.683,BOTH,True,False
OPENUSDT,103936697,629744465,BUY,0.1696000,28,0,4.7488000,0.00237440,USDT,2025-12-25 00:30:01.684,BOTH,True,False
OPENUSDT,103936696,629744465,BUY,0.1696000,35,0,5.9360000,0.00296800,USDT,2025-12-25 00:30:01.684,BOTH,True,False
OPENUSDT,103940885,629783695,SELL,0.1701000,57,0.02850000,9.6957000,0.00484785,USDT,2025-12-25 01:00:01.701,BOTH,False,False
OPENUSDT,103940884,629783695,SELL,0.1701000,7,0.00350000,1.1907000,0.00059535,USDT,2025-12-25 01:00:01.701,BOTH,False,False
OPENUSDT,103942239,629798886,BUY,0.1704000,64,0,10.9056000,0.00545280,USDT,2025-12-25 01:15:01.145,BOTH,True,False
NOMUSDT,11317440,128472114,BUY,0.0074080,1351,0,10.0082080,0.00500410,USDT,2025-12-25 01:15:01.260,BOTH,True,False
NOMUSDT,11317441,128472114,BUY,0.0074090,130,0,0.9631700,0.00048158,USDT,2025-12-25 01:15:01.260,BOTH,True,False
NOMUSDT,11318331,128481825,SELL,0.0073500,281,-0.01632266,2.0653500,0.00103267,USDT,2025-12-25 01:21:43.589,BOTH,False,False
NOMUSDT,11318330,128481825,SELL,0.0073510,1200,-0.06850533,8.8212000,0.00441060,USDT,2025-12-25 01:21:43.589,BOTH,False,False
NOMUSDT,11320492,128501721,BUY,0.0075090,1200,0,9.0108000,0.00450539,USDT,2025-12-25 01:30:00.941,BOTH,True,False
NOMUSDT,11320493,128501721,BUY,0.0075090,241,0,1.8096690,0.00090483,USDT,2025-12-25 01:30:00.941,BOTH,True,False
LUMIAUSDT,32773198,801130475,BUY,0.1135000,96.4,0,10.94140000,0.00547070,USDT,2025-12-25 01:30:01.524,BOTH,True,False
OPENUSDT,103943188,629810863,SELL,0.1684000,64,-0.12800000,10.7776000,0.00538880,USDT,2025-12-25 01:30:47.053,BOTH,False,False
NOMUSDT,11346421,128643792,SELL,0.0075800,1441,0.10231100,10.9227800,0.00546139,USDT,2025-12-25 01:45:01.642,BOTH,False,False
LUMIAUSDT,32776511,801195407,SELL,0.1119000,90.8,-0.14528000,10.16052000,0.00508025,USDT,2025-12-25 02:09:25.361,BOTH,False,False
LUMIAUSDT,32776512,801195407,SELL,0.1119000,5.6,-0.00896000,0.62664000,0.00031332,USDT,2025-12-25 02:09:25.361,BOTH,False,False
KMNOUSDT,54331379,902800039,BUY,0.0508900,363,0,18.4730700,0.00923653,USDT,2025-12-25 02:15:01.264,BOTH,True,False
PNUTUSDT,618110998,9775832700,BUY,0.0722200,234,0,16.8994800,0.00844974,USDT,2025-12-25 02:15:01.475,BOTH,True,False
BIOUSDT,212291875,3477511892,BUY,0.0429800,229,0,9.8424200,0.00492120,USDT,2025-12-25 02:15:01.528,BOTH,True,False
BIOUSDT,212291874,3477511892,BUY,0.0429800,105,0,4.5129000,0.00225645,USDT,2025-12-25 02:15:01.528,BOTH,True,False
AVNTUSDT,259229852,1810783220,BUY,0.4016000,25,0,10.0400000,0.00502000,USDT,2025-12-25 02:15:01.580,BOTH,True,False
AVNTUSDT,259245161,1810928501,SELL,0.3972000,13,-0.05720000,5.1636000,0.00258180,USDT,2025-12-25 02:22:12.360,BOTH,False,False
AVNTUSDT,259245162,1810928501,SELL,0.3972000,12,-0.05280000,4.7664000,0.00238319,USDT,2025-12-25 02:22:12.360,BOTH,False,False
KMNOUSDT,54332451,902811286,BUY,0.0512300,45,0,2.3053500,0.00115267,USDT,2025-12-25 02:30:01.230,BOTH,True,False
KMNOUSDT,54332450,902811286,BUY,0.0512300,108,0,5.5328400,0.00276642,USDT,2025-12-25 02:30:01.230,BOTH,True,False
KMNOUSDT,54332449,902811286,BUY,0.0512300,179,0,9.1701700,0.00458508,USDT,2025-12-25 02:30:01.230,BOTH,True,False
