,symbol,entry_price,exit_price,entry_time,exit_time,pnl,balance_after,reason,duration,rsi,adx,volume_ratio,upper_wick_ratio
1343,DIAUSDTUSDT,0.82791375,0.8155070425000001,2025-10-27 20:30:00+00:00,2025-10-27 20:30:00+00:00,-797.8319534411182,36528.68562725587,Stop Loss,0 days 00:00:00,78.38618334423583,26.48854151212206,2.6692929780868515,0.020053152935491737
1344,YBUSDTUSDT,0.58399185,0.5752404359,2025-10-27 21:15:00+00:00,2025-10-27 21:15:00+00:00,-780.24030524507,35723.25312502649,Stop Loss,0 days 00:00:00,87.20234535693456,50.42704948993404,3.5497929787772424,0.011472602739726095
1345,HBARUSDTUSDT,0.19487739,0.19195705346000003,2025-10-28 01:15:00+00:00,2025-10-28 01:15:00+00:00,-763.0365408445003,34935.579857888864,Stop Loss,0 days 00:00:00,84.21779535303429,30.149437908298978,7.190476616833899,0.002669678611767084
1346,AIAUSDTUSDT,1.31615775,1.2964344585,2025-10-28 01:30:00+00:00,2025-10-28 01:30:00+00:00,-746.2121076673523,34165.274246871246,Stop Loss,0 days 00:00:00,76.31860093155751,25.63518527461598,6.0581671999816304,0.02661596958174916
1347,BLESSUSDTUSDT,0.051055514999999996,0.050290422210000005,2025-10-28 01:45:00+00:00,2025-10-28 01:45:00+00:00,-729.7586417199203,33411.95334705003,Stop Loss,0 days 00:00:00,80.01598146832978,28.58072071541714,7.432431607760388,0.003918495297805619
1348,BLESSUSDTUSDT,0.0488244,0.05044523345630935,2025-10-28 02:00:00+00:00,2025-10-28 02:00:00+00:00,1506.8534463576786,34895.76406696147,Smart Trailing (Max 74%),0 days 00:00:00,66.65567580006773,31.831292133041707,4.4499170912220585,0.04693584750973561
1349,BLESSUSDTUSDT,0.052516244999999996,0.05172926243,2025-10-28 02:30:00+00:00,2025-10-28 02:30:00+00:00,-745.3616559105136,34126.336366866846,Stop Loss,0 days 00:00:00,74.68566126817635,38.0327716249342,2.938561065209762,0.0030458785455930023
1350,BLESSUSDTUSDT,0.05400699,0.05319766786,2025-10-28 02:45:00+00:00,2025-10-28 02:45:00+00:00,-728.9269418419112,33373.87402063399,Stop Loss,0 days 00:00:00,77.0732527260383,41.177145235279625,3.2810951884962423,0.0009257544899091741
1351,RIVERUSDTUSDT,7.944970499999999,7.825911087000001,2025-10-28 05:15:00+00:00,2025-10-28 05:15:00+00:00,-712.8546019635703,32638.00295382861,Stop Loss,0 days 00:00:00,78.49765083949728,35.120937349359885,3.013710247276735,0.0015113350125944038
1352,RIVERUSDTUSDT,7.8049005,7.687940107000001,2025-10-28 05:30:00+00:00,2025-10-28 05:30:00+00:00,-697.1366461727716,31918.357340101476,Stop Loss,0 days 00:00:00,67.35850772083968,34.8282516147224,3.4640994512059904,0.01884373798230999
1353,RIVERUSDTUSDT,8.0490225,8.441609583750003,2025-10-28 06:30:00+00:00,2025-10-28 06:30:00+00:00,2125.288985770744,34021.633665637666,Smart Trailing (Max 104%),0 days 00:00:00,67.8310750360087,29.929394876934094,2.8356994177338484,0.015162813820531928
1354,RIVERUSDTUSDT,8.3051505,8.180693607000002,2025-10-28 06:45:00+00:00,2025-10-28 06:45:00+00:00,-726.6905277425676,33271.47994226362,Stop Loss,0 days 00:00:00,73.11166600663748,30.687937563537922,4.035266981047711,0.01999759065172875
1355,RIVERUSDTUSDT,8.1410685,8.019070459000002,2025-10-28 07:00:00+00:00,2025-10-28 07:00:00+00:00,-710.6674992635641,32537.866594764015,Stop Loss,0 days 00:00:00,65.6071048307467,30.651810498235342,2.9512189124273913,0.025319567354965745
1356,RIVERUSDTUSDT,8.432214,8.305852996,2025-10-28 07:30:00+00:00,2025-10-28 07:30:00+00:00,-694.9977675895137,31820.428919178114,Stop Loss,0 days 00:00:00,71.34305225129168,31.571504435479884,2.8518347253316163,0.01768755935422613
1357,RIVERUSDTUSDT,8.515255499999999,8.387650077,2025-10-28 09:00:00+00:00,2025-10-28 09:00:00+00:00,-679.6735427678084,31118.81025301777,Stop Loss,0 days 00:00:00,65.72939880356058,25.585691217667023,3.5456407188006303,0.02208906121489844
1358,VIRTUALUSDTUSDT,1.6545268499999999,1.6297329259000002,2025-10-28 11:45:00+00:00,2025-10-28 11:45:00+00:00,-664.6872066089692,30432.661797958444,Stop Loss,0 days 00:00:00,79.39743798518155,28.42320808828465,2.5303181716628016,0.0182027092404451
1359,TRUMPUSDTUSDT,7.557777,7.444519878,2025-10-28 14:15:00+00:00,2025-10-28 14:15:00+00:00,-650.0313088993784,29761.642446439782,Stop Loss,0 days 00:00:00,81.4326325670022,31.4779728985824,3.59133337254924,0.008472332539052165
