,symbol,entry_price,exit_price,entry_time,exit_time,pnl,reason,duration,rsi,adx,volume_ratio,upper_wick_ratio
219,INITUSDTUSDT,0.5177587499999999,0.5248,2025-07-20 16:30:00,2025-07-20 16:30:00,0.9323794103341553,Partial TP 15%,0 days 00:00:00,0.0,0.0,0.0,0.0
220,LDOUSDTUSDT,1.2468230999999999,1.2839577,2025-07-20 15:45:00,2025-07-20 16:45:00,1.4132196393678764,Final TP 40%,0 days 01:00:00,71.179805393447,39.1427044804417,6.279866853944073,0.008023106546854949
221,PEOPLEUSDTUSDT,0.025512749999999997,0.02586,2025-07-20 16:15:00,2025-07-20 16:45:00,0.9205415244941155,Partial TP 15%,0 days 00:30:00,0.0,0.0,0.0,0.0
222,INITUSDTUSDT,0.5177587499999999,0.5243,2025-07-20 16:30:00,2025-07-20 16:45:00,0.649628278130472,Partial TP 25%,0 days 00:15:00,0.0,0.0,0.0,0.0
223,PEOPLEUSDTUSDT,0.025512749999999997,0.025550993612249998,2025-07-20 16:15:00,2025-07-20 17:00:00,0.1012719560116522,Stop Loss,0 days 00:45:00,80.98617588997354,40.552624148114454,4.570240123136121,0.0011769321302472439
224,INITUSDTUSDT,0.5177587499999999,0.52267486933125,2025-07-20 16:30:00,2025-07-20 17:00:00,0.4622783028551104,Stop Loss,0 days 00:30:00,72.98806234321638,32.93382316724775,5.256272953342044,0.0038662284941040053
225,INITUSDTUSDT,0.5422710000000001,0.5489,2025-07-20 17:30:00,2025-07-20 17:30:00,0.8963341385712348,Partial TP 15%,0 days 00:00:00,0.0,0.0,0.0,0.0
226,INITUSDTUSDT,0.5422710000000001,0.543083864229,2025-07-20 17:30:00,2025-07-20 17:45:00,0.10979159481103323,Stop Loss,0 days 00:15:00,81.73999297121786,36.635003920251684,5.122024108701206,0.00904392764857884
227,TRUMPUSDTUSDT,10.753373999999999,10.8286072928475,2025-07-20 12:15:00,2025-07-20 19:00:00,0.9867602041530668,Trailing Stop (Stepped),0 days 06:45:00,79.57048199734213,38.57552760630802,4.708590803757964,0.003721622627465661
228,SPKUSDTUSDT,0.04674336,0.04753758811560001,2025-07-21 06:00:00,2025-07-21 06:00:00,3.084075696888618,Trailing Stop (Stepped),0 days 00:00:00,78.80616068898104,34.501064823878714,7.223029829722511,0.010916095890411034
229,APEUSDTUSDT,0.7584790499999999,0.7713,2025-07-21 08:45:00,2025-07-21 09:00:00,1.3055612242797998,Partial TP 15%,0 days 00:15:00,0.0,0.0,0.0,0.0
230,MOVEUSDTUSDT,0.18259124999999998,0.1865,2025-07-21 09:00:00,2025-07-21 09:15:00,1.651749804025411,Partial TP 15%,0 days 00:15:00,0.0,0.0,0.0,0.0
231,APEUSDTUSDT,0.7719857999999999,0.7445938138515,2025-07-21 09:15:00,2025-07-21 09:30:00,-7.024482262071626,Stop Loss,0 days 00:15:00,80.5628362266423,37.45519143571705,3.9768393331191696,0.0023337222870478723
232,MOVEUSDTUSDT,0.18659325,0.1888,2025-07-21 09:30:00,2025-07-21 09:30:00,0.9386666139364115,Partial TP 15%,0 days 00:00:00,0.0,0.0,0.0,0.0
233,MOVEUSDTUSDT,0.18659325,0.1915,2025-07-21 09:30:00,2025-07-21 09:45:00,1.5653571115664955,Partial TP 25%,0 days 00:15:00,0.0,0.0,0.0,0.0
234,MOVEUSDTUSDT,0.18659325,0.18836495290875,2025-07-21 09:30:00,2025-07-21 10:00:00,0.5351645261103702,Stop Loss,0 days 00:30:00,81.81192575755557,35.17248836267643,4.2587218050406905,0.0
235,NXPCUSDTUSDT,1.119329385,1.13332,2025-07-21 11:15:00,2025-07-21 11:15:00,0.9512072293283217,Partial TP 15%,0 days 00:00:00,0.0,0.0,0.0,0.0
236,MOODENGUSDTUSDT,0.215177535,0.2075424981143625,2025-07-21 11:45:00,2025-07-21 11:45:00,-6.897158087266188,Stop Loss,0 days 00:00:00,77.90641489529665,35.40605602811174,7.4334530615253,0.003718681727327769
237,NXPCUSDTUSDT,1.1339366849999999,1.14806,2025-07-21 11:30:00,2025-07-21 13:45:00,0.9563902821060366,Partial TP 15%,0 days 02:15:00,0.0,0.0,0.0,0.0
238,NXPCUSDTUSDT,1.1339366849999999,1.1356364560908148,2025-07-21 11:30:00,2025-07-21 14:00:00,0.11497888963265451,Stop Loss,0 days 02:30:00,78.15504739771367,52.03392069513601,4.741820521376331,0.0037500441181659767
239,JUPUSDTUSDT,0.6296146499999999,0.6348,2025-07-21 14:45:00,2025-07-21 14:45:00,0.5927507798671098,Partial TP 15%,0 days 00:00:00,0.0,0.0,0.0,0.0
240,JUPUSDTUSDT,0.6296146499999999,0.6413,2025-07-21 14:45:00,2025-07-21 15:00:00,1.0018369529809998,Partial TP 25%,0 days 00:15:00,0.0,0.0,0.0,0.0
241,JUPUSDTUSDT,0.6296146499999999,0.63559284110175,2025-07-21 14:45:00,2025-07-21 15:15:00,0.485290775208478,Stop Loss,0 days 00:30:00,71.18613629338621,42.2238440948396,4.693218150520507,0.006038455426664589
242,SPKUSDTUSDT,0.047633804999999994,0.04882,2025-07-21 20:15:00,2025-07-21 20:30:00,1.8301182188587424,Partial TP 15%,0 days 00:15:00,0.0,0.0,0.0,0.0
243,SPKUSDTUSDT,0.047633804999999994,0.04897,2025-07-21 20:15:00,2025-07-21 20:45:00,1.546159029574364,Partial TP 25%,0 days 00:30:00,0.0,0.0,0.0,0.0
244,SPKUSDTUSDT,0.047633804999999994,0.048086087978474995,2025-07-21 20:15:00,2025-07-21 21:00:00,0.4955317461369742,Stop Loss,0 days 00:45:00,71.29722805199515,47.4556715030558,3.827521091369936,0.007979840403191902
245,SOLUSDTUSDT,197.708805,199.46,2025-07-21 15:15:00,2025-07-22 01:15:00,0.6481578794030893,Partial TP 15%,0 days 10:00:00,0.0,0.0,0.0,0.0
