timestamp,open,high,low,close,volume
2025-12-05 21:57:00,9.173,9.186,9.173,9.186,73.2
2025-12-05 21:58:00,9.186,9.191,9.174,9.179,96.1
2025-12-05 21:59:00,9.182,9.182,9.176,9.181,26.0
2025-12-05 22:00:00,9.181,9.19,9.174,9.181,151.9
2025-12-05 22:01:00,9.181,9.181,9.176,9.179,50.4
2025-12-05 22:02:00,9.178,9.179,9.162,9.166,153.4
2025-12-05 22:03:00,9.163,9.176,9.163,9.175,138.6
2025-12-05 22:04:00,9.171,9.171,9.165,9.167,67.8
2025-12-05 22:05:00,9.167,9.171,9.145,9.15,154.2
2025-12-05 22:06:00,9.15,9.15,9.134,9.146,275.6
2025-12-05 22:07:00,9.146,9.151,9.146,9.151,42.4
2025-12-05 22:08:00,9.151,9.156,9.147,9.152,155.6
2025-12-05 22:09:00,9.152,9.152,9.147,9.15,14.0
2025-12-05 22:10:00,9.15,9.15,9.147,9.148,16.5
2025-12-05 22:11:00,9.148,9.151,9.142,9.144,114.3
2025-12-05 22:12:00,9.146,9.146,9.14,9.146,6.1
2025-12-05 22:13:00,9.146,9.146,9.141,9.145,23.7
2025-12-05 22:14:00,9.145,9.145,9.138,9.141,48.2
2025-12-05 22:15:00,9.138,9.143,9.138,9.142,37.3
2025-12-05 22:16:00,9.142,9.145,9.142,9.145,8.1
2025-12-05 22:17:00,9.145,9.145,9.131,9.143,195.2
2025-12-05 22:18:00,9.143,9.146,9.143,9.146,46.3
2025-12-05 22:19:00,9.146,9.153,9.146,9.153,21.4
2025-12-05 22:20:00,9.153,9.161,9.151,9.16,76.5
2025-12-05 22:21:00,9.16,9.162,9.159,9.162,13.7
2025-12-05 22:22:00,9.162,9.167,9.16,9.167,53.9
2025-12-05 22:23:00,9.167,9.167,9.161,9.163,33.5
2025-12-05 22:24:00,9.161,9.164,9.153,9.164,31.1
2025-12-05 22:25:00,9.164,9.165,9.151,9.16,24.1
2025-12-05 22:26:00,9.16,9.16,9.159,9.16,4.5
2025-12-05 22:27:00,9.16,9.16,9.155,9.157,18.0
2025-12-05 22:28:00,9.157,9.157,9.152,9.155,19.5
2025-12-05 22:29:00,9.152,9.158,9.151,9.158,31.7
2025-12-05 22:30:00,9.159,9.159,9.153,9.155,6.3
2025-12-05 22:31:00,9.155,9.159,9.152,9.154,227.3
2025-12-05 22:32:00,9.152,9.155,9.152,9.155,7.2
2025-12-05 22:33:00,9.155,9.156,9.155,9.156,14.9
2025-12-05 22:34:00,9.156,9.157,9.153,9.156,11.0
2025-12-05 22:35:00,9.156,9.156,9.153,9.154,10.8
2025-12-05 22:36:00,9.153,9.156,9.15,9.15,17.4
2025-12-05 22:37:00,9.151,9.16,9.151,9.16,24.4
2025-12-05 22:38:00,9.16,9.167,9.157,9.166,21.6
2025-12-05 22:39:00,9.166,9.179,9.166,9.172,69.0
2025-12-05 22:40:00,9.172,9.172,9.159,9.161,24.6
2025-12-05 22:41:00,9.161,9.161,9.15,9.16,16.0
2025-12-05 22:42:00,9.16,9.169,9.157,9.169,4.8
2025-12-05 22:43:00,9.169,9.178,9.169,9.171,78.3
2025-12-05 22:44:00,9.171,9.177,9.153,9.173,49.2
2025-12-05 22:45:00,9.173,9.173,9.15,9.164,52.1
2025-12-05 22:46:00,9.164,9.176,9.163,9.176,5.3
2025-12-05 22:47:00,9.176,9.176,9.162,9.168,8.3
2025-12-05 22:48:00,9.168,9.174,9.168,9.174,7.3
2025-12-05 22:49:00,9.174,9.191,9.173,9.191,55.3
2025-12-05 22:50:00,9.191,9.198,9.191,9.198,22.8
2025-12-05 22:51:00,9.198,9.2,9.176,9.189,222.4
2025-12-05 22:52:00,9.189,9.2,9.189,9.2,24.2
2025-12-05 22:53:00,9.2,9.2,9.193,9.199,10.3
2025-12-05 22:54:00,9.192,9.2,9.189,9.19,15.5
